condition,distance,dt,db
BLE_tx_0db,0,12,-35
BLE_tx_0db,0,4030,-36
BLE_tx_0db,0,2037,-35
BLE_tx_0db,0,984,-36
BLE_tx_0db,0,1046,-36
BLE_tx_0db,0,1009,-35
BLE_tx_0db,0,1058,-36
BLE_tx_0db,0,967,-36
BLE_tx_0db,0,978,-36
BLE_tx_0db,0,994,-36
BLE_tx_0db,0,2011,-36
BLE_tx_0db,0,1011,-35
BLE_tx_0db,0,2039,-36
BLE_tx_0db,0,982,-36
BLE_tx_0db,0,1065,-35
BLE_tx_0db,0,941,-35
BLE_tx_0db,0,1043,-36
BLE_tx_0db,0,1027,-36
BLE_tx_0db,0,987,-35
BLE_tx_0db,0,988,-35
BLE_tx_0db,0,1997,-35
BLE_tx_0db,0,1045,-36
BLE_tx_0db,0.25,83,-36
BLE_tx_0db,0.25,1008,-35
BLE_tx_0db,0.25,988,-35
BLE_tx_0db,0.25,1020,-36
BLE_tx_0db,0.25,977,-35
BLE_tx_0db,0.25,1024,-35
BLE_tx_0db,0.25,971,-35
BLE_tx_0db,0.25,992,-35
BLE_tx_0db,0.25,1013,-36
BLE_tx_0db,0.25,1041,-35
BLE_tx_0db,0.25,1000,-35
BLE_tx_0db,0.25,4001,-35
BLE_tx_0db,0.25,1025,-36
BLE_tx_0db,0.25,1010,-35
BLE_tx_0db,0.25,2004,-35
BLE_tx_0db,0.25,4009,-35
BLE_tx_0db,0.25,1024,-35
BLE_tx_0db,0.25,1000,-36
BLE_tx_0db,0.25,1028,-35
BLE_tx_0db,0.25,1052,-35
BLE_tx_0db,0.25,933,-35
BLE_tx_0db,0.25,1041,-36
BLE_tx_0db,0.5,12,-46
BLE_tx_0db,0.5,1006,-47
BLE_tx_0db,0.5,1031,-46
BLE_tx_0db,0.5,1994,-46
BLE_tx_0db,0.5,1035,-47
BLE_tx_0db,0.5,2039,-47
BLE_tx_0db,0.5,979,-46
BLE_tx_0db,0.5,998,-46
BLE_tx_0db,0.5,1021,-47
BLE_tx_0db,0.5,984,-47
BLE_tx_0db,0.5,1045,-47
BLE_tx_0db,0.5,990,-46
BLE_tx_0db,0.5,1020,-46
BLE_tx_0db,0.5,1099,-46
BLE_tx_0db,0.5,1005,-46
BLE_tx_0db,0.5,2016,-46
BLE_tx_0db,0.5,2010,-47
BLE_tx_0db,0.5,997,-47
BLE_tx_0db,0.5,1010,-47
BLE_tx_0db,0.5,987,-47
BLE_tx_0db,0.5,3099,-46
BLE_tx_0db,0.5,965,-46
BLE_tx_0db,0.5,1063,-47
BLE_tx_0db,0.75,25,-48
BLE_tx_0db,0.75,1105,-48
BLE_tx_0db,0.75,1032,-48
BLE_tx_0db,0.75,1001,-48
BLE_tx_0db,0.75,2017,-48
BLE_tx_0db,0.75,988,-50
BLE_tx_0db,0.75,2019,-50
BLE_tx_0db,0.75,1030,-49
BLE_tx_0db,0.75,1018,-49
BLE_tx_0db,0.75,956,-49
BLE_tx_0db,0.75,1068,-50
